Person,ADJ,ADP,ADV,AUX,CCONJ,DET,NOUN,PRON,PROPN,PUNCT,SCONJ,SYM,VERB,X,INTJ,NUM,SPACE
BM,1.714,1.769,2.192,1.401,1.419,1.522,1.968,1.872,1.451,1.672,1.219,1.727,1.87,1.196,1.05,1.199,
DK,1.481,1.434,1.705,1.202,1.143,1.268,1.497,1.531,1.344,1.375,1.173,1.903,1.473,1.0,1.011,1.209,
EG,1.869,2.097,2.387,1.561,1.456,1.761,2.185,2.465,1.64,2.048,1.343,1.615,2.066,1.188,1.107,1.29,
EH,1.678,1.667,2.429,1.367,1.423,1.384,1.912,1.758,1.438,2.066,1.151,1.573,1.844,1.204,1.045,1.211,
EM,1.603,1.536,2.073,1.254,1.201,1.28,1.619,1.729,1.362,1.529,1.184,2.035,1.6,1.125,1.078,1.163,
HW,1.592,1.622,2.131,1.378,1.332,1.347,1.647,1.685,1.52,1.514,1.208,1.959,1.738,1.25,1.063,1.101,
MP,1.445,1.569,1.916,1.325,1.214,1.337,1.613,1.8,1.324,1.578,1.162,1.498,1.669,1.337,1.045,1.179,
NR,1.522,1.574,1.981,1.191,1.218,1.296,1.657,1.652,1.433,1.65,1.065,1.817,1.636,1.244,1.059,1.158,
RG,1.574,1.566,2.073,1.303,1.238,1.35,1.663,1.808,1.306,1.624,1.21,1.824,1.754,1.182,1.033,1.14,
SM,1.615,1.787,2.217,1.337,1.285,1.459,1.881,1.846,1.358,1.862,1.202,1.981,1.814,1.173,1.056,1.262,
